Date,pca
1932-04-01,-489.71426827771074
1932-05-01,-499.229169868677
1932-06-01,-509.04300814351285
1932-07-01,-505.7139172773186
1932-08-01,-469.81156568879
1932-09-01,-458.7455014873018
1932-10-01,-474.181815757361
1932-11-01,-474.4819727917393
1932-12-01,-477.08939225252533
1933-01-01,-471.6846036006221
1933-02-01,-482.649731207435
1933-03-01,-482.2496280304641
1933-04-01,-472.33717560002486
1933-05-01,-442.60820313149685
1933-06-01,-420.9568284225064
1933-07-01,-413.28783208896675
1933-08-01,-422.4954905839336
1933-09-01,-423.7850452027177
1933-10-01,-438.5824108597193
1933-11-01,-435.27303856165327
1933-12-01,-432.54780018029896
1934-01-01,-424.35687875905836
1934-02-01,-414.31000921886437
1934-03-01,-422.57467236183476
1934-04-01,-420.00553863154516
1934-05-01,-435.8312238157691
1934-06-01,-434.9739232330853
1934-07-01,-441.63120377885616
1934-08-01,-446.8687103204719
1934-09-01,-451.7229760549307
1934-10-01,-449.87203573923205
1934-11-01,-446.3517782990116
1934-12-01,-444.58690602294763
1935-01-01,-446.364506890261
1935-02-01,-451.0942360470023
1935-03-01,-458.9482525523715
1935-04-01,-451.06016778461867
1935-05-01,-441.2731251579573
1935-06-01,-435.1999296855755
1935-07-01,-427.85776368764516
1935-08-01,-417.88479865421743
1935-09-01,-414.5715153890689
1935-10-01,-410.2664929262935
1935-11-01,-395.9774177045329
1935-12-01,-395.975285555171
1936-01-01,-386.057539707725
1936-02-01,-375.17405878640324
1936-03-01,-369.48075878037673
1936-04-01,-369.1866708922216
1936-05-01,-380.11435748605015
1936-06-01,-373.1740083570795
1936-07-01,-362.64249124135034
1936-08-01,-359.85214682731674
1936-09-01,-357.39412107917235
1936-10-01,-345.9632831839427
1936-11-01,-339.5562046825262
1936-12-01,-343.6135806357297
1937-01-01,-338.0030805290709
1937-02-01,-330.9650064551808
1937-03-01,-332.8429243090857
1937-04-01,-348.8116404257404
1937-05-01,-360.3335236939479
1937-06-01,-368.38129654937757
1937-07-01,-357.5097081546221
1937-08-01,-355.2719224634671
1937-09-01,-387.6234185478688
1937-10-01,-414.9133301919618
1937-11-01,-428.07264163136074
1937-12-01,-429.5077848592057
1938-01-01,-423.71043326527024
1938-02-01,-426.3655855028587
1938-03-01,-436.24769576096503
1938-04-01,-442.83595648624146
1938-05-01,-440.77989119386143
1938-06-01,-437.71279856429
1938-07-01,-410.35900371742565
